Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE2	1	HC19-NM077	-631	-736.5	-770	-785	-756	-716	-783	-812	-664	762	256	-765.5	-745.5	-814.5	-595.5	51	-11	451	-599	196	514.5	-100.5	916	531	4	-598
PLATE2	1	HC19-NM078	-143	-183.5	-187	-211	-180	-152	-186.5	-221	-134	67	84	-172	-168	-215	-71	57	1583	-0.5	-66	16	14	-37	296	175	-102.5	796
PLATE2	1	HC19-NM079	-644	-727	-747	-744	-733	-696	-730.5	-788	-598	154.5	366	-750	-724	-780	-604.5	5.5	447.5	263	-519	47	254	-243	884	472.5	-508	-573
PLATE2	1	HC19-NM080	-204	-411.5	-460	529	-378	-354	-453	-460	-356.5	374.5	331	-428	-442	-487	-140	210	1611	72	2710	-2	1086.5	-133	587	292	-331	222
PLATE2	1	HC19-NM081	-153	-231	-257.5	-233	-251	-200	-234	-272	-158	119.5	101	-155.5	-231.5	-279	-117	69.5	-81	186	-148.5	-7	250.5	-59	351	298	-155.5	-77
PLATE2	1	HC-251K	-544.5	-665	-652	-663	-654.5	-573.5	-676.5	-669.5	-155.5	310.5	140	-630.5	-644.5	-707.5	-423	-4.5	9560	423	-501.5	61.5	687.5	64.5	806.5	544	-552	-164.5
PLATE2	1	HC-252K	131.5	-218.5	-246	-248.5	-235.5	-192.5	-237.5	-252.5	-179.5	115.5	111	-221.5	-198.5	-256.5	-83.5	79	-1.5	46.5	-126	89.5	134	-46.5	336.5	187.5	-185	-103
PLATE2	1	HC-253K	657	-203.5	-76	-211.5	95.5	-53.5	-193.5	-229.5	1158.5	544	133	-149	-189	-227	-117.5	100.5	-43.5	-5.5	-132.5	113.5	244.5	7	311.5	241.5	-173	-159.5
PLATE2	1	HC-254K	-50	-81.5	-74	-75	-54	-33	-80	-89	73	71	61	-86	-47	-95.5	-1	96	14	44	-17.5	33	134.5	-9	170	195	-51.5	-32.5
PLATE2	1	HC-255K	-231.5	-271	-273.5	-269	-259.5	-228	-261.5	-288	-159.5	144	47.5	-268	-242	-282	-105.5	51.5	-75	55	-172	-2	2636	-78	362	239	-239.5	-130.5
PLATE2	1	HC-256K	981	-466	403.5	-152.5	852	403	-515	-507.5	2635	1072	315	-391	-526	-515.5	-221.5	142	332	1354	-311.5	251	531	43	684	258	-328.5	-279
PLATE2	1	HC-257K	-73	-313	-253	101.5	-259	-181	-268	-335	102	361	193	-90	-256	-335.5	5	171	7189	100.5	-200.5	47	10031	-32	420	133.5	-289	484
PLATE2	1	HC-258K	112.5	-215	-169	-199	-156.5	-104	-223.5	-250	1	123	234	-231	-210	-245	-79	69.5	192	-1	-135	-11	28.5	-92.5	339	209.5	-113	-55
PLATE2	1	HC-259K	-54	-108	-79	-78.5	-94	-64.5	-101	-90	-1.5	62	108	-76	-68	-127	-9	131	308.5	43	-56	4.5	222.5	-15	201	160.5	-82	-48
PLATE2	1	HC-260K	-307.5	-205	-1219	-1206	-461.5	-1048.5	-1259.5	-1285	7801.5	241	-144.5	-772.5	-1233.5	-1289	-1065.5	1814.5	671	-566	-1116	37422.5	26106	-382.5	1377.5	1036	-1137.5	-1011.5
PLATE2	1	HC-261K	-109.5	-484.5	-449.5	-504	-365.5	-409.5	-468.5	-533.5	247	273.5	37.5	-483.5	-486	-530.5	-367.5	96.5	3624.5	-197.5	-421	-7.5	218.5	-148.5	603.5	347.5	-429.5	-268.5
PLATE2	1	HC-262K	-1036	-1086	-1115	-1123	-1107	-1083.5	-1111	-1144	-853	440	-148.5	-966	-1094	-1148	-887	-222.5	-749	-408.5	-939	-76	507.5	-445	1220	674	-1037.5	-919
PLATE2	1	HC-263K	-142	-341.5	-331	-374.5	-276	-316	-366	-384	-49	97	84	-322.5	-351.5	-412.5	-286	-72	-107	-106.5	-293	-64	25	-177.5	486	237	-141	-334
PLATE2	1	HC-264K	-569.5	4778.5	-649.5	-669.5	-661.5	-596.5	-683.5	-707.5	-508.5	195.5	52	-552.5	-655.5	-726.5	-511.5	-53.5	-295	256	-591	106.5	372	-250.5	790.5	364.5	-660.5	-475
PLATE2	1	HC-265K	-268	-377	-353	-351	-362	-326	-361	-372.5	-188.5	145	107	165	-328	-392.5	-115.5	189.5	97	-28	-233.5	17	136	-128	467	354.5	-267	106
PLATE2	1	HC-266K	-69.5	-171.5	-163.5	-178.5	-187.5	-134.5	-154.5	-183.5	-100.5	80	70.5	-147	-139	-201.5	31.5	125	1625	90.5	-85	412	157.5	-24.5	281.5	100.5	-139.5	-37.5
PLATE2	1	HC-267K	1069	-119	319	-97.5	951	222	-119.5	-149.5	1312	656	37.5	-124	-104	-150	-28.5	81	233	-17	77	-12	28	46	218	222	-124.5	-62
PLATE2	1	HC-268K	400.5	-186	28	-186.5	135.5	57.5	-187	-214.5	640.5	300.5	118	-199.5	-168.5	-222.5	-30	69	81.5	36	-140.5	4.5	471.5	104	299.5	153.5	-162	-55.5
PLATE2	1	HC-269K	-93	-141.5	-166	-161.5	-147	-109.5	-139	-174	-68	82	61.5	-131	-124	-182.5	22	92	385.5	38	-77	15	7	-44	250	171	-92	14
PLATE2	1	HC-270K	-203	-318	-352	-296	-331	-291	-359.5	-392	-168	142	163	-272.5	-337.5	-405	-114	141	129	222	-203	312.5	249	-101	494	309.5	-245	-188
PLATE2	1	HC-271K	-243.5	-378.5	-405	-341	-369.5	-351	-410	-434	-139	118	229.5	-326	-391.5	-450	-138	129.5	195	126	-234	450	429	-143	553	338.5	-260	-228
PLATE2	1	HC-272K	495.5	-322	201.5	228.5	-59.5	162.5	-327.5	-362.5	4520	401	179.5	-270.5	-296.5	-366.5	17.5	104.5	340.5	476	-184.5	-78.5	257.5	-65.5	458.5	220	-287.5	45.5
PLATE2	1	HC-273K	3096	-83	660	397	1108	560.5	-71.5	-86.5	2912	1646.5	165	-69.5	-55	-109	-26	50.5	991	32	-47	19.5	42	92	183	126	-42	803
PLATE2	1	HC-274K	-213.5	-257.5	-243.5	-271.5	-245.5	-200.5	-239.5	-274.5	-36.5	15.5	120	-209	-231.5	-285	14.5	85.5	1308.5	108.5	-142.5	319.5	119.5	-80.5	350.5	193	-215.5	-21.5
PLATE2	1	HC-275K	-44	-222	-221	-258	-199	-185	-237	-267	24.5	351.5	105	-240.5	-217.5	-278	-48	42	671	190	-104	-18	229.5	-40	360	197.5	-199.5	-100
PLATE2	1	HC-277K	-37.5	-47.5	-57.5	-40.5	-42.5	1.5	-33.5	-65	-0.5	45.5	39.5	-47.5	-9.5	-64	40.5	78	53.5	68.5	-13.5	-3.5	4.5	-18.5	124.5	105.5	-35.5	43.5
PLATE2	1	HC-278K	-152	-177	-219.5	-216	-204	-178	-201	-232	-142.5	128	90.5	-214.5	-191.5	-235.5	-115	83	-7	37	-39.5	26	117	-77	300	155	-188	167.5
PLATE2	1	HC-279K	239	-38	48	43.5	-24	67.5	-32.5	-60	252	128	66.5	-39	-9.5	-67.5	13	93	432	35	-14	-1.5	359	-12	131	132	-19	-18
PLATE2	1	HC-280K	-996	-1064	-1053	-1044.5	-1060.5	-1028	-1046	-1089	-929.5	613	231.5	-1060.5	-1042	-1089.5	-970	131	-476.5	-309	-988	333	1054	-316	1153	978.5	-1027	-968.5
PLATE2	1	HC-281K	-30	-46	-82	-63	-87	-41	-88	-103	149	95.5	125.5	-71.5	-67.5	-80.5	75.5	134	3626.5	78	-48	211	243	11.5	198	154	-21.5	-6.5
PLATE2	1	HC-282K	705	-638	-577	-579	-38	-514	-636	-649	17507	1353	74.5	-600	-599	-674	-119	21.5	560	46	-379	-44	853	48	755	381	-556	-130
PLATE2	1	HC-283K	2837.5	-469.5	880	-163.5	1553.5	964.5	-463.5	-492.5	5443.5	1595	69.5	-401.5	-456.5	-498.5	-243.5	190.5	2581	-32.5	-362	14	355.5	10.5	581.5	386	-426.5	485.5
PLATE2	1	HC-284K	13	22.5	-23	-20.5	-21	26.5	-41	-54	43.5	34	42	-48	-20	-69.5	10	78	199	48.5	-12.5	2	1	-19	145	93.5	-27	-2
PLATE2	1	HC-285K	4224	-416	6518	461	4415	5401	-427	-449	3597	2410	164	-422.5	-401.5	-451	-260	239	-107	174.5	-334	305	373	195	534	326	-403	-6
PLATE2	1	HC-286K	-19	-101	-67.5	-103	-72.5	-41	-83	-103	0	49	30.5	-90	-64.5	-111	1	84	46	21.5	-60	-19	-11	-33	176	609	-36	-43
PLATE2	1	HC-287K	-387	-421	-410	-437.5	-422.5	-394	-426	-451	-358	194	30	-427	-413	-469	-284	156	169.5	-215	-380.5	47.5	121	-226	532	396	-384	-376.5
PLATE2	1	HC-288K	-258	-341	-353	-325.5	-292	-302.5	-323	-344.5	7	284.5	148	-317	-298	-353	10.5	90	-41	70	-206	31.5	288	-72	445	338	-156	-214
PLATE2	1	HC-289K	-5	-50	-45	-46	-43	-23	-34.5	-51	38.5	28.5	83	-34	-18	-70	42.5	71.5	1757	33.5	-10	-5.5	6	-18	132	125	-34	28
PLATE2	1	HC-290K	16	-201	-121.5	-190	-107	-94	-180	-201.5	190.5	137.5	85.5	-192.5	-155.5	-213.5	-27.5	177	-26	19	-117.5	70.5	124.5	-16.5	276.5	281	-165.5	-85
PLATE2	1	HC-291K	11	-122.5	-76.5	-107.5	-106.5	-53	-122.5	-122.5	77.5	120.5	108.5	-53.5	-87.5	-144.5	-33.5	84	111	78.5	-84.5	44	509	-19.5	205.5	180.5	-91.5	-40.5
PLATE2	1	HC-292K	-35	-77	-81	-78	-58	-43	-75	-97	47	41	55	-71	-52.5	-106.5	2	335	65	4	-37	-4	691.5	-34.5	179	132	-63.5	-56
PLATE2	1	HC-293K	586	-311	-319	-308	-324.5	-234	-343.5	-364	-205	402	240	-344	-319	-369	424.5	443	437.5	27	-197	203	1798	-62	451	166	211.5	-7
PLATE2	1	HC-294K	119	-108	-99.5	-129.5	-34.5	81	-106	-114	-33	95	43.5	-110	-86	-148	-13	65	495	-6.5	-74	10.5	62.5	-38.5	212	162	-88	-66
PLATE2	1	HC-295K	-277	-391.5	-373	-397	-383	-296	-407.5	-436.5	-240.5	62	178.5	-367	-380.5	-433	-221	55	161	9	-248	-27	-151	-101	514	338.5	-250	-219
PLATE2	1	HC-296K	-66	-157.5	-167	-188.5	-162	-93	-183	-182	-74	124.5	127	-127	-145.5	-197	-72	44.5	461.5	215	-92	18	96	-25.5	279	215.5	-126	-26
PLATE2	1	HC-297K	-447	-711	-592.5	-741.5	-607	-603	-798	-858	2627	324	323.5	-802.5	-777	-843	-713	-105.5	-675	220	-535	-40.5	-621	-125	970	814	-395	-739
PLATE2	1	HC-298K	-16.5	-63.5	-65	-59.5	-20	-6	-56	-93	32	29.5	86	-74	-37	-91	-6	66	13	-13	-39	11	90	-32	159	112	-54	-39.5
PLATE2	1	HC-299K	59.5	-44	5	-29.5	-27	35	-23	-63	17	64.5	50	-36	-4	-59	45	135	2254	61.5	-2	15	143	26	130	159	9	-11.5
PLATE2	1	HC-300K	-179	-191	-189	-183	-174	-151	-189	-211	-114	41.5	70	-189	-150.5	-212	-133	60	-58	-12	-25.5	46	1130	-54	283	285	-122	-191.5
PLATE2	1	MBL-164	-535.5	-682	-685	-672	-638	-642	-658	-740	-480	154	120.5	288	-686	-750	-292	513.5	141	-82	2648	388	3581.5	-168.5	838	48.5	-611	-404
PLATE2	1	MBL-165	1191	-121	188	-146	492.5	233.5	-154.5	-196	2254	446.5	156	767	-133	-142	65	168	1223.5	445	-43	395	1956	120	279	218	-105	365
PLATE2	1	MBL-167	-15	-50	-64	-62.5	-49.5	-25.5	-46	-70	-13.5	39.5	14	-7.5	-28	-82	50	125.5	1173.5	18.5	66	22	35	-36.5	145	113	-20.5	-42
PLATE2	1	MBL-168	-103.5	-194.5	-194.5	-202.5	-206.5	-163.5	-184.5	-216	-149	46.5	48	-192.5	-157.5	-219.5	59	34.5	608.5	-6.5	457	-70.5	-49.5	-82.5	286.5	72.5	-181	16.5
PLATE2	1	MBL-169	58	-41	-82	-81.5	-77	-47	-66.5	-107	31	147	39	-83	-50	-92	70	94.5	171	51	-6	19	63.5	-40	169	132	13	60.5
PLATE2	1	MBL-170	-256	-308	-366	-347	-352	-324	-346	-373	-261	106	101	-337	-318	-362	-85.5	115	6002	48.5	-181	324	132	-101	459	268	-155.5	-200
PLATE2	1	MBL-171	-89	-163.5	-176.5	-204	-187	-111	-180	-211	-70	151.5	98.5	-152	-158.5	-220	41	301.5	299	87	172.5	14	26	-67.5	298	159	-136	-53
PLATE2	1	MBL-172	-467	-568	-578	-564.5	-560	-535	-582	-598.5	-438	-10	192.5	-436	-557	-607.5	-339	46	-222.5	4216	1122	19	10373	-210	689	669.5	-528.5	-440
PLATE2	1	MBL-173	-187.5	-241.5	-246	-249.5	-234.5	-216.5	-254	-267.5	-100.5	143.5	66.5	-265.5	-235.5	-273.5	-14.5	94.5	258.5	79.5	-48	-18.5	67.5	-52.5	352.5	121.5	-227.5	-41
PLATE2	1	MBL-174	3012	-683	116.5	-699	1407	410	-709.5	-749	4042.5	1538.5	105	-660	-690	-734.5	-130	458	154	-130	-408	-186	1980	-143.5	822	101.5	-662	-344.5
PLATE2	1	MBL-175	-277.5	-706	-648	-620	-468	-535.5	-746.5	-760	-421	308	-66	-639	-737	-769.5	-211	-155	369.5	-155	35489	-343	3320.5	-369	875	-155	-712	-154
PLATE2	1	MBL-176	-497	-1178.5	-1008	-1139	-668.5	-452.5	-1169.5	-1105	1886	507	901	-1077.5	-1163	-1237	838	513.5	2914.5	187	856	-50.5	1153	-65	1357	521	-1030	120
PLATE2	1	MBL-177	55.5	-20	-38	5.5	-60	2	-49	-92	162.5	77	62	-53.5	-32	-87	27	81	360	66	93.5	31	1287	-20	161	143.5	-10	62
PLATE2	1	MBL-178	-1353	-1576	-1537	-1497	-1343	-1428	-1573	-1605.5	-997.5	715.5	326	-1472.5	-1540	-1619	-1315	291	-466	4000	-1325	-92.5	724	-488	1722	1387	-1171.5	-1359
PLATE2	1	MBL-179	-153.5	1187	-220	-249	-213	-170	-196	-270	29	82	66	-223	-225	-275	49	230	3294	114	-180	1	33	-86	346	266	-47.5	-30.5
PLATE2	1	MBL-180	-527	-664	-632	-684.5	-587	-565	-692.5	-720	310	231	121	-461.5	-661	-722	116.5	120.5	2024.5	-41	5370.5	37	380	-140	807	232	-671	185
PLATE2	1	MBL-181	1467	-369.5	228	-342	237	338	-358	-405.5	3907	1004	309	-381	-347	-402.5	-7	81.5	71	127	-83.5	78	-35	222	490	297	-252.5	4
PLATE2	1	MBL-182	-466.5	-803	-1010	-1021	-940	-927	-1023.5	-1057	-428.5	454	-30	-906.5	-1004	-1043	-2	982	193.5	15.5	-733	-77	840	-280	1150	163	-919	-342
PLATE2	1	MBL-183	-64	-138.5	-132.5	-56	-106.5	-98.5	-151.5	-136.5	12.5	124.5	97.5	-112.5	-126.5	-176.5	40.5	336.5	5744	32.5	1421.5	23.5	102	-39.5	250.5	169	-121.5	153.5
PLATE2	1	MBL-184	5983	-79	1226	-72.5	1171	1261	-92	-121	4239	1489	11.5	-74	-60.5	-111	17	94.5	51.5	454.5	605.5	2	15784.5	225	202	150	62	-67
PLATE2	1	MBL-185	142.5	-48	-115	-135.5	-14.5	56	-120.5	-149.5	-3.5	143.5	134	148	-67.5	-129	-12	83.5	125.5	139.5	-52.5	-17.5	-5.5	-9.5	235.5	196.5	-79.5	-44.5
PLATE2	1	MBL-186	792.5	-68	315	-73	49	454	-54.5	-98	5901	437.5	66	-73	-55	-105	134	158	378.5	68	-5	29	34	29	162	127.5	-41	258
PLATE2	1	MBL-187	-472	-254.5	-531.5	-323	-501.5	-498	-538.5	-550.5	-184.5	205.5	3.5	-519.5	-508	-558	404.5	184.5	351.5	103.5	-370.5	92.5	213.5	-84.5	642.5	187.5	-505.5	-153
PLATE2	1	MBL-188	12058.5	-65.5	4955.5	-58.5	178.5	3827.5	-72.5	-117.5	479.5	260.5	40.5	-86.5	-61	-112.5	20.5	101.5	363.5	447.5	-40	35	1976.5	63.5	182.5	147.5	-51	-30
PLATE2	1	MBL-189	59	-85	-88	-72	-36.5	-36	-74	-101	106	134	48	-14	-46	-107	56	101.5	6834.5	38	34.5	0.5	86	5	172	131	-71.5	16
PLATE2	1	MBL-190	20	-23	-43	-58	-23	-4	-25.5	-55	23	70.5	67.5	-31	-7	-48	64.5	108.5	90.5	71	102	26	176	-9.5	129	169	-16	14
PLATE2	1	MBL-191	1875	-1495	-724	-1400.5	53	-916	-1431	-1518	3679.5	2192.5	311.5	-1452	-1491	-1531	587	-60.5	2249	2044	-756	-60	3699	86	1646	5	-1447	1214
PLATE2	1	MBL-192	1838.5	-406	-997	-1093	-1016.5	-868.5	-916	-1170	1219	849	587	-660.5	-1073	-1127	199	503	2255	327.5	-160	374	1677	-111.5	1280	54.5	-987.5	227
PLATE2	1	MBL-193	-249	-285	-282	-284	-279	-254	-227	-311.5	-136.5	30	129.5	173.5	-257.5	-312	134.5	31.5	314	111	-109.5	-20	-116	-111	380	45	-239	161
PLATE2	1	MBL-194	-131	-157	-155	-159	-158	-125	-90.5	-179	-95	94	81.5	-144.5	-131.5	-188	-39	83.5	230	36	-58	33.5	401	-10.5	244	158	-21	-73
PLATE2	1	MBL-195	-67.5	-110.5	-118.5	-107	-109.5	-82.5	-107.5	-117.5	93.5	54	38.5	-106.5	-83.5	-135.5	459.5	71	86.5	-5.5	-1.5	-13	33.5	-56.5	201.5	104	12.5	53.5
PLATE2	1	MBL-196	-67.5	-239	-257	-170.5	-233	-193	-257	-274.5	-155	108.5	96.5	-187	-217.5	-278	52	3	162	85	-126	-88	1048	-74	354	90	-169	120.5
PLATE2	1	MBL-197	714.5	-195	-199	-204	-193	-161	-188.5	-214	1628	2023	75	-162	-161.5	-171	2	58	125	56	-108	35	123	-52	289	122.5	-188	-35
PLATE2	1	MBL-198	-1027.5	-1088.5	-1100	-1086	-1094.5	-1051	-1090	-1101	-1028	148	106	-1040	-1075	-1121	-209	497.5	1741	-247	1499	-347	-206	-374	1201	73.5	-924	-143
PLATE2	1	MBL-199	-688	-751.5	-715.5	-713.5	-677.5	-673.5	-726.5	-768	-657.5	96.5	-8	-638	-690.5	-769.5	73.5	204.5	459	71.5	2289.5	-75	57.5	-85	845.5	-14	-690.5	104.5
PLATE2	1	MBL-200	-44	-153	-143	-152	213.5	-108	-140	-177.5	0	41	36	-102.5	-119	-166.5	8	130	10934	28	188	-5.5	17	-46	243	108	-112	32.5
PLATE2	1	MBL-201	3044.5	-117.5	118.5	-102.5	1060	61	-113.5	-134.5	3598	980	36	-114.5	-88	-132	-20	81	2051	36	-81.5	26	295	127	210	188	-53	-70.5
PLATE2	1	MBL-202	-289.5	-383	-321	-371	-339.5	-307	-204	-395	-185.5	20	120	-238	-334	-391	484	81	2597	-14	-124.5	-35	3572	-142.5	470	131	-303.5	1257.5
PLATE2	1	MBL-203	11	-42	-2	-55	12	43	-49	-66.5	75	22	68	-52	-26.5	-74	19	62	43	13.5	6.5	36.5	-8.5	-7.5	138	123	-15	-7
PLATE2	1	MBL-204	-47	-57.5	-62	-61	-54	-30	-53	-78.5	-19	19	8	-63.5	-21	-79	18	81	184	12	-31	-7	0	-12	139	75	-28.5	6
PLATE2	1	BL771	-41.5	-68.5	-57	-66	-45	-21	-47	-77	-19.5	15.5	25	-60.5	-19	-84	84	158	3706	3.5	-29.5	-10	8	-27	140	75	-51.5	-24
PLATE2	1	BL773	2126.5	-194	901.5	-196.5	287	775.5	-190	-220.5	1789	799.5	34.5	-183	-162	-219	-36	131	93	-1	-88	3	180	-53	295	136.5	-169	-48.5
PLATE2	1	BL774	-45	-55	-52	-59.5	-49	-22.5	-43.5	-68	-15	19	32	-50	-27.5	-74.5	36.5	157.5	45	10	-25	1	66.5	-28	132	111	-34	-32.5
PLATE2	1	BL775	-42	-47	-55	-36	-48	-27	-24	-58	-25	33	32	-50	-8	-69	47	141	54	13	-12	18.5	67	-14	128	127	-32	-19
PLATE2	1	BL776	-115.5	-144.5	-136.5	-135	-116.5	-106.5	-120.5	-151.5	-111.5	18.5	8.5	-115.5	-104.5	-163.5	42.5	64.5	86	-13.5	-74.5	-0.5	86	-50.5	216.5	109.5	-92.5	18.5
PLATE2	1	BL777	-27	-51	-53	-46.5	-53	-17	-27	-58.5	4	20	13	-55	-13.5	-77.5	129.5	145.5	6305	15	-18.5	-14	25.5	-13.5	128	84	-31.5	46
PLATE2	1	BL778	-259	13	-303.5	-267	-301.5	-257	-302	-307	-220.5	82.5	15	-294	-268	-296	-14	42	5271.5	39	-147	-47	-52	-92	407	112.5	-217.5	-54
PLATE2	1	BL779	19.5	-81	-64	-79	-39	81	-61	-92	-13	54.5	29.5	-78	-44	-106	64.5	124.5	474	18	-13	0	86.5	1	163	103.5	-63	-5
PLATE2	1	BL648	-228	-302.5	-318	-306	-300	-266	-302	-317	173	129	44.5	-299	-274	-326	-160	175	8	53	-48	73.5	893.5	-101	401	402	-271	-196
PLATE2	1	BL702	-423.5	-477	-547.5	-563	-589	-510.5	-579	-583	-335.5	240	-17	-379.5	-506	-526	-10	69.5	182	62	-279	-3	256	-164	695	167.5	-337.5	34
PLATE2	1	BL705	-38	-75	-51	-58	-71	-22.5	-65	-98.5	-26	11	-2	-64.5	-30	-96	44	97.5	279	18.5	657.5	-9	120	-29	156	77	-56.5	-30
PLATE2	1	BL722	-56.5	-61.5	-130.5	-147	-106	-68.5	-109.5	-151.5	-40.5	57.5	123.5	-110.5	-100	-157.5	172.5	309.5	394.5	9.5	-38.5	36.5	242.5	-28.5	226.5	155.5	-93.5	-67
PLATE2	1	BL735	-104.5	-155	-141.5	-131.5	-138	-97.5	-140	-152	-91.5	122	57.5	-126	-111	-151	-21	85	140	12.5	-104	47	266.5	-35.5	231	198.5	-133	-55
PLATE2	1	BL736	-148.5	-155.5	-166	-166	-156	-116	-150.5	-183	-118	29	16	-120	-129	-179.5	-38	31	85	16	-94.5	-11.5	350	-44	264	147	-101	-62.5
PLATE2	1	BL740	-767.5	-870.5	-1005.5	-1035	-978	-966.5	-1018	-1045.5	-900	272	106	-463	-961	-1043	-640	26.5	2785.5	129	-600.5	416	7842	-315	1155	947	-933	-688
PLATE2	1	BL742	-449	-422	-490	-470	-462	-432	-480	-509	-385.5	143.5	103	-478	-471	-514	-7.5	-36	103.5	-55	3172	-51	237	-159.5	595	329.5	-408.5	87
PLATE2	1	EBV-MALE-NEG	-667	-1001.5	-1138.5	-1103	-1038	-550.5	-1110	-1097	-772.5	844	-128.5	-1055	-1067	-1112.5	-954	77.5	-754	-461.5	-329	-185	661	-391	1243	748.5	-1041	-972
PLATE2	2	EBV-MALE-NEG	-339.5	-472.5	-573.5	-565.5	-522.5	-308	-545	-544.5	-401	284.5	42.5	-545.5	-525.5	-577.5	-431.5	195.5	-354.5	-179	-256.5	122	144.5	-186.5	668.5	343	-532.5	-460.5
PLATE2	1	EBV-FEMALE-NEG	-137	-177.5	-214	-191.5	-206.5	-169	-183	-210	-136	104	110	-161	-159	-195	13	87	230.5	77	-41	4	182	-48	301	135	456	2997
PLATE2	2	EBV-FEMALE-NEG	-78	-98.5	-126.5	-134	-128.5	-87.5	-110	-137.5	-81.5	99.5	73	-91.5	-80.5	-119	58.5	77	182.5	48.5	-5	0	93.5	1.5	233.5	94.5	221	1499.5
